,file_name,vgg19,rn152,target,rn152_ft_highlr_1,rn152_ft_highlr_5,rn152_ft_1,rn152_ft_5,rn152_ft_10
0,7C67AB4E289F131709410245_1709410245332_13_1_0_03.jpg,a young boy standing next to a fire hydrant on the side of a road,a man standing next to a dog on the ground with a dog,A man checks his phone before leaving the yard., two men are playing a game of frisbee, a person is a dog <unk> the, a man standing next to a dog on the ground, a man and a dog are standing next to each other on the road, a man and a dog are standing next to each other on the road
1,7C67AB4F513F131699029751_1699029753718_13_1_0_04.jpg,a group of people standing next to each other on a lush green field,a group of people sitting on a bench in front of some trees,A person carries a package indoors., a group of people standing around a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk> the, a group of people sitting on a bench in front of some trees, a group of people sitting on a bench in front of a garden, a group of people sitting on a bench in front of a garden
2,7C67AB4253DA131692816209_1692816209108_13_1_0_05.jpg,a person standing in the middle of a field with a surfboard,a black bird sitting on top of a green grass covered field,A person is leaving the house., a bird is flying through the air, a person is <unk> the <unk> the, a black bird sitting on top of a green grass covered field, a bird is perched on the edge of a window sill, a bird is sitting on the edge of a window sill
3,7C67AB0DF159131701206089_1701206089308_13_1_0_03.jpg,a person standing next to a bed with a bag,there is a man that is sitting on a bench in the rain,A delivery person drops off a package.,  , a person is <unk> the <unk> the, there is a man that is sitting on a bench in the rain, a man is sitting on a bench in front of a building with a large clock, a man is sitting on a bench in the rain
4,7C67AB0E44A6131692078368_1692078368805_13_1_0_05.jpg,an airplane that is sitting in the middle of a hangar,there is an image of a lot of luggage that are on the side of the building,A person is picking up their delivered package., there is an image of a <pad> <pad> <pad> <pad> <pad>, a person is <unk> the <unk>, there is an image of a lot of people that are on the floor, a group of people standing next to each other in a parking lot, a group of people standing next to each other in a parking lot
5,7C67AB5CE626131706745294_1706745294226_13_1_0_04.jpg,a truck is parked on the side of the street,a truck parked in front of a brick building with a clock on it,Residents unload a U-Haul truck at an apartment complex., a truck parked in front of a <pad> <pad> <pad>, a truck is parked to the, a truck parked in front of a brick building with a clock on it, a truck parked in front of a large building with a large white truck, a truck parked in front of a large building with a large white truck
6,7C67AB21C338131697005084_1697005084629_13_1_0_01.jpg,a car driving down a road with a car in the background,a man riding a motorcycle down the road in a parking lot,A car drives away from parked position., a car parked in the parking lot of cars, a person is a vehicle the car, a man riding a motorcycle down the road in a parking lot, a man riding a motorcycle down the road in the parking lot, a man riding a motorcycle down the road in the parking lot
7,7C67AB3FE1F1131704517653_1704517653847_13_1_0_04.jpg,a black and white photo of a red and white photo of a train,a group of people sitting on top of a train,A person walks across the parking lot., a group of people standing around a <pad> <pad> <pad>, a person is <unk> the the vehicle, a group of people sitting on top of an airplane, a group of people sitting on top of an airport tarmac, a group of people standing next to each other in a parking lot
8,7C67AB0DDBF5131710283395_1710283395604_13_1_0_01.jpg,a train traveling down train tracks next to a lush green field,a truck parked in front of a house with a truck in the background,Two individuals are working in the backyard., a truck is parked in front of a <pad> <pad>, a person is a truck the, a truck parked in front of a house with a truck, a truck parked in front of a house with a truck, a truck parked in front of a house with a truck
9,7C67AB21C338131696900842_1696900842174_13_1_0_03.jpg,a car driving down the road in front of a traffic light on a street,a car parked in the middle of a parking lot,A person collects garbage bins from the street., a car is parked on the side of the road, a car is parked car the car, a car parked in the middle of a parking lot, a car parked in front of a parking meter, a car parked in front of a parking meter in the middle of a city street
