file_name,text
7C67AB4E289F131709410245_1709410245332_13_1_0_03.jpg, two men are playing a game of frisbee
7C67AB4F513F131699029751_1699029753718_13_1_0_04.jpg, a group of people standing around a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
7C67AB4253DA131692816209_1692816209108_13_1_0_05.jpg, a bird is flying through the air
7C67AB233720131709155774_1709155774070_13_1_0_03.jpg, a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
7C67AB0DF159131701206089_1701206089308_13_1_0_03.jpg,  
7C67AB0E44A6131692078368_1692078368805_13_1_0_05.jpg, there is an image of a <pad> <pad> <pad> <pad> <pad>
7C67AB5CE626131706745294_1706745294226_13_1_0_04.jpg, a truck parked in front of a <pad> <pad> <pad>
7C67AB21C338131697005084_1697005084629_13_1_0_01.jpg, a car parked in the parking lot of cars
7C67AB3FE1F1131704517653_1704517653847_13_1_0_04.jpg, a group of people standing around a <pad> <pad> <pad>
7C67AB0DDBF5131710283395_1710283395604_13_1_0_01.jpg, a truck is parked in front of a <pad> <pad>
7C67AB21C338131696900842_1696900842174_13_1_0_03.jpg, a car is parked on the side of the road
7C67AB0C8947131710155352_1710155352258_13_1_0_01.jpg, a person is sitting in the <pad> <pad> <pad>
7C67AB402D96131708213152_1708213152202_13_1_0_01.jpg, a view of a <pad> <pad> <pad> <pad> <pad> <pad> <pad>
7C67AB4EE99B131700181020_1700181020948_13_1_0_02.jpg, a person is standing in front of a <pad> <pad> <pad>
7C67AB4F3E46131707558292_1707558292192_13_1_0_01.jpg, a room with two beds and a bed in a room
7C67AB5B9B23131704045084_1704045084762_13_1_0_04.jpg, a person is doing tricks on the ramp
7C67AB227FAC131696294539_1696294539585_13_1_0_04.jpg, a room filled with lots of furniture and a <pad> <pad>
7C67AB212385131703719394_1703719394192_13_1_0_03.jpg, a person is standing in the <pad> <pad> <pad> <pad>
7C67AB014CEC131687380000_1687380000000_13_1_0_02.jpg, a car is parked in front of a <pad> <pad> <pad>
7C67AB3FF574131707156405_1707156405957_13_1_0_02.jpg, a person is laying in bed in bed with their feet up
7C67AB239AA3131686377959_1686377959146_13_1_0_05.jpg, a person taking a picture of a <pad> <pad> <pad> <pad>
7C67AB0C8947131707895925_1707895925719_13_1_0_05.jpg, a person sitting in the <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
7C67AB228121131695094704_1695094704495_13_1_0_03.jpg, a dog is laying on the <pad> <pad> <pad> <pad> <pad>
